State,1990-Commercial,1990-Electric Power,1990-Industrial,1990-Residential,1990-Transportation,1990-Total,2010-Commercial,2010-Electric Power,2010-Industrial,2010-Residential,2010-Transportation,2010-Total,Diff-Commercial,Diff-Electric Power,Diff-Industrial,Diff-Residential,Diff-Transportation,Diff-Total
Georgia,0.059384232185538136,0.9434641445922843,0.28381886717474825,0.08931921571439494,0.7472362541116438,2.1232227137786097,0.041780078353343165,0.7991183598339042,0.15808976302103306,0.08585643029328156,0.7008184154614125,1.7856630469629746,-29.644491785619344,-15.29955171966379,-44.29906489490121,-3.8768650098606994,-6.211936103851842,-15.898457784246967
Hawaii,0.06775758528807148,0.6567650311497804,0.1899543399991558,0.004096177427567892,0.9991611948367791,1.9177343287013549,0.025390171439997472,0.5376327981086539,0.1093705022638372,0.0062308421444959615,0.6898736755321064,1.368497989489091,-62.52792756404892,-18.13924727882739,-42.42274103117452,52.11358039721263,-30.95471690683476,-28.639855426908582
Idaho,0.07928321200256029,6.738935028605746e-05,0.3415224051348105,0.07798780344217214,0.6270852856228467,1.1259460955526759,0.06841230194018559,0.042550368210403026,0.22119391553360526,0.10286564249908459,0.6059160480281095,1.040938276211388,-13.711490475466162,63041.086877649424,-35.23297089504494,31.899653482815854,-3.3758147544015578,-7.549901338710313
Illinois,0.1091917551213989,0.49441578011119225,0.3836577712515747,0.2223628838146088,0.4748076108264192,1.6844358011251936,0.09087000663724125,0.7171357778011247,0.27565918374091003,0.18644531765855338,0.5279388190698635,1.798049104907693,-16.779424841910103,45.04710542204853,-28.149719777172738,-16.152680492307823,11.190049829017607,6.744887736689418
Indiana,0.0981124047329536,1.707697833386532,0.9698862905776713,0.1733885046739734,0.7353138080945008,3.68439884146563,0.08283825570244124,1.7140662315104624,0.7411482357110843,0.13440327207709304,0.6558936586897626,3.328349653690844,-15.568010051416199,0.3729230077724735,-23.584007433525933,-22.48432366966036,-10.800851082961207,-9.663698288243733
Iowa,0.11461185792396886,0.9583057891031269,0.45823964210228046,0.1803470563297325,0.5867137346827672,2.298218080141876,0.1460477904577766,1.316259328935728,0.6266099377780987,0.16044962435435134,0.7130842121157908,2.9624508936417455,27.428167646197394,37.35274730705821,36.74284810964423,-11.032856526918989,21.53869424947949,28.902079364847054
Kansas,0.12984718981489504,1.0925922991888686,0.63990198557317,0.1647424579936156,0.7778697124024069,2.804953644972956,0.07156046725021538,1.218770035448937,0.4806277777505171,0.15804482972663592,0.6365255387264038,2.56552864890271,-44.88870544504728,11.548473877560895,-24.89040687692015,-4.065514348000824,-18.170674525875228,-8.535791545052602
Kentucky,0.07115354638055596,1.7891393176266255,0.5362690113934632,0.10972900636375055,0.7146363477139442,3.2209272294783395,0.054191513969664235,2.1178231788184774,0.4511563900909972,0.08545207252578545,0.7531783356881314,3.4618014910930555,-23.838632469803244,18.37106020496302,-15.871254816925914,-22.124445160368364,5.393230850554893,7.478413650895424
Louisiana,0.04506081036457855,0.8200947985233797,2.6842270768052927,0.07368381251166638,1.1580377334579008,4.781104231662818,0.042548788208865276,0.9362761119096337,2.553369791845893,0.05830718390196084,1.0634831979374293,4.653985073803782,-5.5747380825799,14.166815055459928,-4.8750452631281584,-20.868394407891085,-8.165065160539433,-2.6587824004586675
Maine,0.18102749880451627,0.16711205550941405,0.2731604233595487,0.24235774198498197,0.673115026316879,1.53677274597534,0.1331990513873864,0.19361046259262354,0.21445304280989883,0.20523168174916306,0.6477164032217145,1.394210641760786,-26.42054258771907,15.856669946661473,-21.491905682243,-15.318701986470677,-3.7732961087111008,-9.276719969683898
Maryland,0.06107633205341089,0.5437789469078728,0.24393925438093908,0.12914130414582367,0.49238507157634637,1.470320909064393,0.08591291561936222,0.4246354635759754,0.07920078385021906,0.11469003010625001,0.5186569621266077,1.2230961552784145,40.664825032767006,-21.91027880159595,-67.53257935004673,-11.19028039491965,5.335639130194017,-16.814339799009904
Massachusetts,0.13923772673407786,0.4166271357124344,0.09241330835203639,0.2502313671797363,0.4803295948835718,1.3788391328618568,0.1037661880659396,0.2747981854194855,0.0553059732614661,0.2105652766825976,0.4730890409337487,1.1175246643632373,-25.47552269068808,-34.042177797761724,-40.15367023677451,-15.851765885388511,-1.5074136648977765,-18.951773435400465
Michigan,0.11453399523740944,0.7213210103745775,0.33684027418671836,0.2372600956964314,0.5148112618631152,1.924766637358252,0.09469803904229615,0.6992292938633945,0.18497510107612175,0.19160604706363243,0.5058749940305394,1.676383475075984,-17.318837218588886,-3.0626747583175113,-45.085218350824114,-19.24219430949409,-1.7358337889181477,-12.904585805953833
Minnesota,0.12931177714900507,0.6744527826305048,0.2850304262758445,0.18431326703808348,0.5417965756059936,1.8149048286994318,0.1082742369848744,0.547343213186461,0.32390668231545505,0.1568348476835551,0.620907174592401,1.7572661547627466,-16.268850856399,-18.846325898203034,13.639335472903927,-14.908541200591213,14.601531746102866,-3.1758510432742257
Mississippi,0.05205259108836065,0.5115647588872296,0.4615297287949072,0.07108997610218633,0.7838312356018872,1.880068290474571,0.05220012021041372,0.8778956528449966,0.3654958350984077,0.06573394968552188,0.8524597335554883,2.213785291394828,0.2834232052015141,71.60987687162432,-20.807737336282116,-7.534151381575343,8.755519662456779,17.750259531052432
Missouri,0.08654179442685343,0.9205097586607602,0.18926961354135793,0.14526607350922618,0.658853534299886,2.0004407744380837,0.06766441128769812,1.2481035657973458,0.16812326164603442,0.11613117611886069,0.6619965965522705,2.2620190114022094,-21.81302486755205,35.58830355184917,-11.172607953100066,-20.056229707699146,0.477050222660545,13.07603005830563
Montana,0.11096382197539627,1.9881435983824125,0.5583117400062984,0.15614602451374898,0.7312395780326018,3.5448047629104584,0.1257657802843094,1.9863227402050705,0.45809521828555255,0.16539850285269578,0.7811046249551503,3.516686866582778,13.339445276312794,-0.09158584816627391,-17.949921977212092,5.925529239543397,6.819248905633684,-0.7932142447414876
Nebraska,0.1345594928113501,0.8514338821238445,0.27253951064071924,0.15838823255314038,0.6654166072354363,2.08233772536449,0.10363492622681086,1.2499093717985852,0.42737922545680135,0.14598730499944973,0.6929654878251104,2.6198763163067578,-22.98207724957384,46.80052063241486,56.813676098583265,-7.829450050545931,4.140095135907361,25.814188755005024
Nevada,0.08737346560770708,1.3743738493235411,0.1752137655188233,0.09768358721875653,0.773140065208754,2.5077847328775817,0.06772447678270102,0.6182264815587634,0.10236910263868373,0.08753710287271005,0.5331072851429208,1.408964448995779,-22.488508025110143,-55.01758987461447,-41.57473738689432,-10.387092279201458,-31.046480562486746,-43.81637185504956
